lag,mi_corrected_nats,mi_baseline_nats,signal_to_bias
1,0.51631708,0.01373799,37.5832
2,0.19389675,0.01379276,14.0579
3,0.09783172,0.01371951,7.1308
4,0.06625845,0.01368950,4.8401
5,0.05288224,0.01375241,3.8453
6,0.04643890,0.01367026,3.3971
7,0.04246245,0.01378134,3.0812
8,0.04073204,0.01370298,2.9725
9,0.03723366,0.01369308,2.7192
11,0.03447813,0.01372917,2.5113
13,0.03304766,0.01375320,2.4029
15,0.03088586,0.01382210,2.2345
18,0.03008546,0.01368045,2.1992
21,0.02843602,0.01377502,2.0643
25,0.02641645,0.01370418,1.9276
29,0.02450534,0.01377745,1.7787
34,0.02398982,0.01372476,1.7479
40,0.02256561,0.01374550,1.6417
46,0.02152012,0.01372131,1.5684
55,0.02048792,0.01372030,1.4933
64,0.01977294,0.01375658,1.4373
75,0.01809464,0.01373845,1.3171
88,0.01720101,0.01369000,1.2565
103,0.01647167,0.01373575,1.1992
121,0.01560150,0.01373885,1.1356
142,0.01479941,0.01377161,1.0746
167,0.01422754,0.01376660,1.0335
196,0.01331200,0.01376114,0.9674
230,0.01277933,0.01373258,0.9306
270,0.01210572,0.01374228,0.8809
317,0.01135900,0.01376413,0.8253
372,0.01084030,0.01372630,0.7897
436,0.01021655,0.01373143,0.7440
512,0.00974222,0.01378747,0.7066
