lag,mi_corrected_nats,mi_baseline_nats,signal_to_bias
1,0.80878521,0.03490388,23.1718
2,0.36744031,0.03501923,10.4925
3,0.19818648,0.03499453,5.6634
4,0.14692336,0.03483530,4.2177
5,0.11630845,0.03497585,3.3254
6,0.10686269,0.03488987,3.0629
7,0.09725180,0.03493996,2.7834
8,0.09391597,0.03493403,2.6884
9,0.08953985,0.03497903,2.5598
11,0.08273850,0.03497838,2.3654
13,0.07892335,0.03491571,2.2604
15,0.07503935,0.03493415,2.1480
18,0.07295537,0.03492157,2.0891
21,0.06834306,0.03488917,1.9589
25,0.06402584,0.03490502,1.8343
29,0.06062389,0.03502785,1.7307
34,0.05803235,0.03493705,1.6611
40,0.05491933,0.03491766,1.5728
46,0.05243078,0.03498535,1.4986
55,0.04929894,0.03495858,1.4102
64,0.04678576,0.03495861,1.3383
75,0.04429285,0.03495384,1.2672
88,0.04405860,0.03491339,1.2619
103,0.04007882,0.03494142,1.1470
121,0.03823896,0.03505522,1.0908
142,0.03748411,0.03491520,1.0736
167,0.03522677,0.03489266,1.0096
196,0.03390666,0.03496552,0.9697
230,0.03262581,0.03488129,0.9353
270,0.03089890,0.03496293,0.8838
317,0.02899200,0.03494221,0.8297
372,0.02788317,0.03497233,0.7973
436,0.02679540,0.03499609,0.7657
512,0.02525539,0.03491634,0.7233
