lag,mi_corrected_nats,mi_baseline_nats,signal_to_bias
1,0.85849452,0.01313355,65.3665
2,0.32180271,0.01316113,24.4510
3,0.19283196,0.01314619,14.6683
4,0.14111021,0.01318573,10.7017
5,0.11477733,0.01311102,8.7543
6,0.10546132,0.01318126,8.0009
7,0.09331448,0.01317461,7.0829
8,0.08688263,0.01315176,6.6062
9,0.08053528,0.01309598,6.1496
11,0.07067786,0.01315375,5.3732
13,0.06408913,0.01310842,4.8892
15,0.05938739,0.01320138,4.4986
18,0.05566257,0.01315442,4.2315
21,0.05174369,0.01317831,3.9264
25,0.04491670,0.01322624,3.3960
29,0.04032294,0.01322908,3.0481
34,0.03717341,0.01316055,2.8246
40,0.03451489,0.01318482,2.6178
46,0.03153397,0.01314855,2.3983
55,0.02837621,0.01306596,2.1718
64,0.02621090,0.01317022,1.9902
75,0.02378693,0.01321698,1.7997
88,0.02191643,0.01321265,1.6587
103,0.02016405,0.01319316,1.5284
121,0.01806402,0.01319692,1.3688
142,0.01622936,0.01321371,1.2282
167,0.01470717,0.01312228,1.1208
196,0.01337442,0.01315115,1.0170
230,0.01208960,0.01312871,0.9209
270,0.01100376,0.01316428,0.8359
317,0.01009934,0.01313086,0.7691
372,0.00913479,0.01312052,0.6962
436,0.00841398,0.01318506,0.6381
512,0.00767048,0.01316104,0.5828
