lag,mi_corrected_nats,mi_baseline_nats,signal_to_bias
1,1.38204376,0.03155350,43.8000
2,0.52508182,0.03151737,16.6601
3,0.32085519,0.03161915,10.1475
4,0.23627741,0.03153341,7.4929
5,0.19575513,0.03149647,6.2151
6,0.17735980,0.03152184,5.6266
7,0.16359020,0.03155056,5.1850
8,0.15462444,0.03149616,4.9093
9,0.14634659,0.03146253,4.6515
11,0.13276922,0.03150877,4.2137
13,0.12329123,0.03157617,3.9046
15,0.11783964,0.03153284,3.7370
18,0.11061348,0.03154830,3.5062
21,0.09908147,0.03157250,3.1382
25,0.08889215,0.03151220,2.8209
29,0.08213675,0.03150478,2.6071
34,0.07318051,0.03146883,2.3255
40,0.06536710,0.03149388,2.0755
46,0.05959942,0.03148514,1.8929
55,0.05386031,0.03155694,1.7068
64,0.04932423,0.03149854,1.5659
75,0.04486977,0.03151987,1.4235
88,0.04125547,0.03149434,1.3099
103,0.03778949,0.03150429,1.1995
121,0.03430801,0.03153302,1.0880
142,0.03144383,0.03149843,0.9983
167,0.02858529,0.03158967,0.9049
196,0.02606902,0.03154454,0.8264
230,0.02395271,0.03160531,0.7579
270,0.02177172,0.03163445,0.6882
317,0.02012889,0.03150225,0.6390
372,0.01827897,0.03148299,0.5806
436,0.01673452,0.03155345,0.5304
512,0.01511619,0.03160532,0.4783
