step,tokens,train_loss,val_loss,val_ppl,lr,elapsed_s
500,4096000,5.387431621551514,5.3024787330627445,200.8340074046451,0.0002992548381355933,44.249667167663574
1000,8192000,4.782909393310547,4.755798931121826,116.25649700511566,0.00029056716136821543,87.13221669197083
1500,12288000,4.333323955535889,4.5423114347457885,93.90761076553106,0.00027271935907359057,130.07990741729736
2000,16384000,4.238783836364746,4.401456394195557,81.56957966133486,0.0002470134285862354,173.17509055137634
2500,20480000,4.370326995849609,4.295423126220703,73.3632497932497,0.0002153246177615057,216.37419605255127
3000,24576000,4.298678874969482,4.220002717971802,68.03366920276287,0.00017996462562803927,259.5565187931061
3500,28672000,3.6349313259124756,4.170360026359558,64.73875557071122,0.00014351296392326577,302.71051716804504
4000,32768000,4.009930610656738,4.123195362091065,61.756260938881134,0.00010862878168945194,345.82157039642334
4500,36864000,4.043251991271973,4.089791588783264,59.72744253794546,7.785688032765895e-05,389.01032733917236
5000,40960000,4.150238990783691,4.0689020919799805,58.49270771246289,5.3442070313131376e-05,432.18429231643677
5500,45056000,3.9573426246643066,4.049218416213989,57.352613650379276,3.716541225136576e-05,475.25377202033997
6000,49152000,4.038820266723633,4.036967325210571,56.65426804354624,3.0214288491260102e-05,518.418648481369
6103,49995776,3.7509427070617676,4.036674423217773,56.63767632552804,3.000001981741871e-05,529.4151768684387
