step,tokens,train_loss,val_loss,val_ppl,lr,elapsed_s
500,4096000,5.257781505584717,5.3221767711639405,204.82926350461648,0.0002992548381355933,44.173585176467896
1000,8192000,4.758742332458496,4.785237674713135,119.7298164521808,0.00029056716136821543,87.1783447265625
1500,12288000,4.549037933349609,4.562807474136353,95.85220502055718,0.00027271935907359057,130.13698649406433
2000,16384000,4.417707443237305,4.405152010917663,81.87158727241092,0.0002470134285862354,173.10800766944885
2500,20480000,3.9330086708068848,4.298747801780701,73.60756470570468,0.0002153246177615057,216.12980389595032
3000,24576000,4.290507793426514,4.232042474746704,68.85772881680504,0.00017996462562803927,259.2548632621765
3500,28672000,3.973823308944702,4.176471009254455,65.13558427040496,0.00014351296392326577,302.34592938423157
4000,32768000,4.319111347198486,4.128274974822998,62.0707569108639,0.00010862878168945194,345.46389150619507
4500,36864000,4.167721748352051,4.101511702537537,60.431573144150825,7.785688032765895e-05,388.59550499916077
5000,40960000,3.8726439476013184,4.07719774723053,58.97996129989641,5.3442070313131376e-05,431.75049209594727
5500,45056000,4.232178211212158,4.063747696876526,58.19198886390814,3.716541225136576e-05,474.8419554233551
6000,49152000,4.072973728179932,4.054842348098755,57.676069537362466,3.0214288491260102e-05,517.9518396854401
6103,49995776,3.9086761474609375,4.053310861587525,57.58780701852502,3.000001981741871e-05,528.9484505653381
