step,tokens,train_loss,val_loss,val_ppl,lr,elapsed_s
500,4096000,5.588232040405273,5.453107318878174,233.48254460558863,0.0002992548381355933,35.104188442230225
1000,8192000,4.6809587478637695,4.850341682434082,127.78404395085771,0.00029056716136821543,69.04449534416199
1500,12288000,4.895232200622559,4.599554710388183,99.4400261711922,0.00027271935907359057,102.90385174751282
2000,16384000,4.872318744659424,4.445927448272705,85.2789329709644,0.0002470134285862354,136.79330325126648
2500,20480000,4.253666400909424,4.339948306083679,76.70357412766536,0.0002153246177615057,170.76526165008545
3000,24576000,4.184417724609375,4.259327301979065,70.76236573651234,0.00017996462562803927,204.70107078552246
3500,28672000,4.208869934082031,4.205147104263306,67.03045740713789,0.00014351296392326577,238.640278339386
4000,32768000,4.047422409057617,4.15633261680603,63.83697811986313,0.00010862878168945194,272.55547165870667
4500,36864000,3.8873400688171387,4.127995018959045,62.053382270666425,7.785688032765895e-05,306.51422572135925
5000,40960000,3.8981404304504395,4.104967441558838,60.64077014651762,5.3442070313131376e-05,340.4566707611084
5500,45056000,3.924055576324463,4.087547717094421,59.5935720708325,3.716541225136576e-05,374.41890025138855
6000,49152000,3.9860949516296387,4.077168893814087,58.978259551061996,3.0214288491260102e-05,408.3867516517639
6103,49995776,4.169140815734863,4.073866653442383,58.78382038045232,3.000001981741871e-05,417.2581341266632
