step,tokens,train_loss,val_loss,val_ppl,lr,elapsed_s
500,4096000,5.349549293518066,5.288520317077637,198.05015705563562,0.0002992548381355933,43.96113872528076
1000,8192000,5.066173553466797,4.812041063308715,122.98237633886018,0.00029056716136821543,86.9110541343689
1500,12288000,4.626339912414551,4.501491804122924,90.15151944359954,0.00027271935907359057,129.84689569473267
2000,16384000,4.450070381164551,4.356521062850952,77.98535579545515,0.0002470134285862354,172.79515075683594
2500,20480000,4.216738700866699,4.243758516311646,69.66921323991663,0.0002153246177615057,215.87701678276062
3000,24576000,4.498586654663086,4.166317272186279,64.47756102486883,0.00017996462562803927,259.14630222320557
3500,28672000,4.450595855712891,4.113020734786987,61.13109978421752,0.00014351296392326577,302.3838596343994
4000,32768000,4.279345512390137,4.074344193935394,58.811898738760824,0.00010862878168945194,345.62100481987
4500,36864000,4.2891764640808105,4.040547337532043,56.85745450922009,7.785688032765895e-05,388.84713196754456
5000,40960000,4.391477584838867,4.019765474796295,55.68804404532335,5.3442070313131376e-05,432.0401556491852
5500,45056000,4.092512130737305,4.005081081390381,54.87627366325894,3.716541225136576e-05,475.21545696258545
6000,49152000,4.235621452331543,3.995361161231995,54.345464554829974,3.0214288491260102e-05,518.4318237304688
6103,49995776,4.219174385070801,3.992849578857422,54.20914270735116,3.000001981741871e-05,529.4458639621735
