step,tokens,train_loss,val_loss,val_ppl,lr,elapsed_s
500,4096000,1.4432402849197388,1.742052015946738,5.709046465538083,0.0002992548381355933,43.920047998428345
1000,8192000,0.8603227138519287,1.5019996585558408,4.490659884525606,0.00029056716136821543,87.192387342453
1500,12288000,0.9905030727386475,1.3437456677307436,3.83337519750892,0.00027271935907359057,130.08020758628845
2000,16384000,0.6483889818191528,1.294886105024635,3.6505801677243195,0.0002470134285862354,172.9231870174408
2500,20480000,0.732196569442749,1.2637494604791228,3.5386647278930425,0.0002153246177615057,216.06943321228027
3000,24576000,0.7391853332519531,1.2310676430937033,3.424884138934559,0.00017996462562803927,259.3846707344055
3500,28672000,0.5744186043739319,1.2221086133065535,3.3943375381856136,0.00014351296392326577,302.760675907135
4000,32768000,0.568820595741272,1.2182916876059682,3.381406298489734,0.00010862878168945194,346.0594344139099
4500,36864000,0.5869280099868774,1.2141898672784392,3.367564784507532,7.785688032765895e-05,389.24326038360596
5000,40960000,0.9441861510276794,1.211818117592203,3.3595872279097847,5.3442070313131376e-05,432.3076505661011
5500,45056000,0.5624251961708069,1.211334980911945,3.357964480125509,3.716541225136576e-05,475.4580338001251
6000,49152000,0.6731166839599609,1.2136659430499053,3.365800897837601,3.0214288491260102e-05,518.8555624485016
6103,49995776,0.6663740873336792,1.2165918805491385,3.3756634424579146,3.000001981741871e-05,529.0272493362427
